date,Partitions total,Partitions total km^2,Partitions new,Partitions new km^2,Partitions imagery available,Partitions imagery available km^2,Partitions ready_for_assembly,Partitions ready_for_assembly km^2,Partitions t2t,Partitions t2t km^2,Partitions t2t qa,Partitions t2t qa km^2,Partitions p2p,Partitions p2p km^2,Partitions p2p qa,Partitions p2p qa km^2,Partitions coast,Partitions coast km^2,Partitions passed,Partitions passed km^2,Partitions backfill,Partitions backfill km^2,Tiles total,Tiles total km^2,Tiles passed,Tiles passed km^2,Tiles failed,Tiles failed km^2,Tiles marginal,Tiles marginal km^2,Failure: undefined,Failure: undefined km^2,Failure: Lack of good source content,Failure: Lack of good source content km^2,Failure: Merge fail,Failure: Merge fail km^2,Failure: Blackfill in water,Failure: Blackfill in water km^2,Failure: Image quality,Failure: Image quality km^2,Failure: Bad Juju,Failure: Bad Juju km^2,Failure: Ugly stuff,Failure: Ugly stuff km^2,Failure: Poor seams,Failure: Poor seams km^2,Marginal: Saturation,Marginal: Saturation km^2,Marginal: Seamlines,Marginal: Seamlines km^2,Marginal: Color tint issues,Marginal: Color tint issues km^2,Marginal: Hmm its ok,Marginal: Hmm its ok km^2,Marginal: Try again with less green,Marginal: Try again with less green km^2
2018-02-06 06:00:51 UTC,153,819025,0,0,153,819025,0,0,0,0,0,0,0,0,0,0,0,0,153,819025,0,0,9476,819025,6744,584392,17,1467,2715,233166,0,0,14,1207,0,0,0,0,3,259,0,0,0,0,0,0,14,1223,8,689,86,7327,0,0,0,0
2018-02-05 06:00:49 UTC,153,819025,0,0,153,819025,0,0,0,0,0,0,0,0,0,0,1,1260,152,817765,0,0,9476,819025,6744,584392,17,1467,2715,233166,0,0,14,1207,0,0,0,0,3,259,0,0,0,0,0,0,14,1223,8,689,86,7327,0,0,0,0
2018-02-04 06:00:51 UTC,153,819025,0,0,153,819025,0,0,0,0,0,0,0,0,0,0,1,1260,152,817765,0,0,9476,819025,6744,584392,17,1467,2715,233166,0,0,14,1207,0,0,0,0,3,259,0,0,0,0,0,0,14,1223,8,689,86,7327,0,0,0,0
2018-02-03 06:00:39 UTC,153,819025,0,0,153,819025,0,0,0,0,0,0,0,0,0,0,1,1260,152,817765,0,0,9476,819025,6744,584392,17,1467,2715,233166,0,0,14,1207,0,0,0,0,3,259,0,0,0,0,0,0,14,1223,8,689,86,7327,0,0,0,0
2018-02-02 06:00:38 UTC,153,819025,0,0,153,819025,0,0,0,0,0,0,0,0,0,0,1,1260,152,817765,0,0,9476,819025,6744,584392,17,1467,2715,233166,0,0,14,1207,0,0,0,0,3,259,0,0,0,0,0,0,14,1223,8,689,86,7327,0,0,0,0
2018-02-01 06:00:37 UTC,153,819025,0,0,153,819025,12,52597,10,51233,16,86822,69,378648,2,10850,0,0,44,238873,0,0,9476,819025,6102,528022,18,1554,2478,212447,0,0,14,1207,0,0,0,0,4,346,0,0,0,0,0,0,13,1133,12,1046,74,6267,0,0,0,0
2018-01-31 06:00:35 UTC,153,819025,0,0,153,819025,54,276704,38,210320,3,16526,43,234876,1,5373,0,0,14,75223,0,0,9476,819025,3692,316593,15,1294,1820,155162,0,0,14,1207,0,0,0,0,1,86,0,0,0,0,0,0,6,508,7,598,64,5383,0,0,0,0
2018-01-30 06:00:33 UTC,153,819025,0,0,153,819025,116,618851,21,114132,5,27078,11,58963,0,0,0,0,0,0,0,0,9476,819025,1515,128704,0,0,917,77432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84,3,253,53,4429,0,0,0,0
2018-01-29 06:00:26 UTC,153,819025,0,0,153,819025,145,776182,7,37506,1,5337,0,0,0,0,0,0,0,0,0,0,9476,819025,416,35032,0,0,198,16589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,4005,0,0,0,0
2018-01-28 06:00:27 UTC,153,819025,0,0,153,819025,145,776182,7,37506,1,5337,0,0,0,0,0,0,0,0,0,0,9476,819025,416,35032,0,0,198,16589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,4005,0,0,0,0
2018-01-27 06:00:23 UTC,153,819025,0,0,153,819025,145,776182,7,37506,1,5337,0,0,0,0,0,0,0,0,0,0,9476,819025,416,35032,0,0,198,16589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,4005,0,0,0,0
2018-01-26 06:00:23 UTC,153,819025,0,0,126,693391,126,693391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9476,819025,7,585,0,0,12,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-25 06:00:21 UTC,153,819025,0,0,85,464011,85,464011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9476,819025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-24 06:00:23 UTC,153,819025,0,0,43,232664,43,232664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9476,819025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-23 06:00:21 UTC,153,819025,0,0,18,96719,18,96719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9476,819025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-22 06:00:19 UTC,153,819025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9476,819025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-21 06:00:20 UTC,153,819025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9476,819025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-20 06:00:18 UTC,153,819025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9476,819025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-19 06:00:10 UTC,153,819025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9476,819025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-18 06:00:10 UTC,153,819025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9476,819025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-17 06:00:12 UTC,153,819025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9476,819025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-16 06:00:11 UTC,153,819025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9476,819025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-15 06:00:11 UTC,153,819025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9476,819025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-14 06:00:11 UTC,153,819025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9476,819025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-13 06:00:10 UTC,153,819025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9476,819025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
